Gene symbol;Element subtype;Class;;;;;;;;;
ybtQ;VIRULENCE;VIRULENCE;;;;;;;;;
ybtP;VIRULENCE;VIRULENCE;;;;;;;;;
cnf2;VIRULENCE;VIRULENCE;;;;;;;;;
cdtB;VIRULENCE;VIRULENCE;;;;;;;;;
papA;VIRULENCE;VIRULENCE;;;;;;;;;
sat;VIRULENCE;VIRULENCE;;;;;;;;;
fdeC;VIRULENCE;VIRULENCE;;;;;;;;;
tsh;VIRULENCE;VIRULENCE;;;;;;;;;
f17g;VIRULENCE;VIRULENCE;;;;;;;;;
f17a;VIRULENCE;VIRULENCE;;;;;;;;;
icaC;VIRULENCE;VIRULENCE;;;;;;;;;
sepA;VIRULENCE;VIRULENCE;;;;;;;;;
katP;VIRULENCE;VIRULENCE;;;;;;;;;
agg3B;VIRULENCE;VIRULENCE;;;;;;;;;
agg3C;VIRULENCE;VIRULENCE;;;;;;;;;
agg3D;VIRULENCE;VIRULENCE;;;;;;;;;
pic;VIRULENCE;VIRULENCE;;;;;;;;;
vactox;VIRULENCE;VIRULENCE;;;;;;;;;
espP;VIRULENCE;VIRULENCE;;;;;;;;;
hld;VIRULENCE;VIRULENCE;;;;;;;;;
