Gene symbol;Element subtype;Class;;;;;;;;;
blaCMY-2;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-28;AMR;BETA-LACTAM;;;;;;;;;
blaVEB-9;AMR;BETA-LACTAM;;;;;;;;;
blaNDM;AMR;BETA-LACTAM;;;;;;;;;
mecA;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-2;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-5;AMR;BETA-LACTAM;;;;;;;;;
blaCARB-16;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-6;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-2;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1205;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-190;AMR;BETA-LACTAM;;;;;;;;;
blaACC-4;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-19;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-4;AMR;BETA-LACTAM;;;;;;;;;
blaACC-1;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-14;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-169;AMR;BETA-LACTAM;;;;;;;;;
blaVIM;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-3;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-231;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-55;AMR;BETA-LACTAM;;;;;;;;;
blaKPC-153;AMR;BETA-LACTAM;;;;;;;;;
blaFRI-1;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-5;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-206;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-33;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-75;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-1;AMR;BETA-LACTAM;;;;;;;;;
blaVIM-86;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-17;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-74;AMR;BETA-LACTAM;;;;;;;;;
blaCMY;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-4;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-246;AMR;BETA-LACTAM;;;;;;;;;
blaIMP-7;AMR;BETA-LACTAM;;;;;;;;;
blaLCR-1;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-40;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-218;AMR;BETA-LACTAM;;;;;;;;;
blaGES-6;AMR;BETA-LACTAM;;;;;;;;;
blaGES-5;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-2A;AMR;BETA-LACTAM;;;;;;;;;
blaGES-35;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-46;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-2;AMR;BETA-LACTAM;;;;;;;;;
blaKPC;AMR;BETA-LACTAM;;;;;;;;;
blaSHV;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-20;AMR;BETA-LACTAM;;;;;;;;;
blaKPC-85;AMR;BETA-LACTAM;;;;;;;;;
blaNDM-6;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-210;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-135;AMR;BETA-LACTAM;;;;;;;;;
blaSHV-31;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-23;AMR;BETA-LACTAM;;;;;;;;;
blaLAP;AMR;BETA-LACTAM;;;;;;;;;
blaIMP-10;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-65;AMR;BETA-LACTAM;;;;;;;;;
